freq,noise_mean,gain
0.0,1.0,1.0
293040.29304029304,1.0,1.0
586080.5860805861,1.0,1.0
879120.8791208791,1.0,1.0
1172161.172161172,1.0,1.0
1465201.4652014652,1.0,1.0
1758241.7582417582,1.0,1.0
2051282.0512820515,1.0,1.0
2344322.3443223443,1.0,1.0
2637362.6373626376,1.0,1.0
2930402.9304029304,1.0,1.0
3223443.223443223,1.0,1.0
3516483.5164835164,1.0,1.0
3809523.8095238097,1.0,1.0
4102564.102564103,1.0,1.0
4395604.395604395,1.0,1.0
4688644.688644689,1.0,1.0
4981684.981684982,1.0,1.0
5274725.274725275,1.0,1.0
5567765.567765567,1.0,1.0
5860805.860805861,1.0,1.0
6153846.153846154,1.0,1.0
6446886.446886446,1.0,1.0
6739926.73992674,1.0,1.0
7032967.032967033,1.0,1.0
7326007.326007326,1.0,1.0
7619047.619047619,1.0,1.0
7912087.912087912,1.0,1.0
8205128.205128205,1.0,1.0
8498168.498168498,1.0,1.0
8791208.79120879,1.0,1.0
9084249.084249085,1.0,1.0
9377289.377289375,1.0,1.0
9670329.67032967,1.0,1.0
9963369.963369964,1.0,1.0
10256410.256410256,1.0,1.0
10549450.54945055,1.0,1.0
10842490.842490844,1.0,1.0
11135531.135531137,1.0,1.0
11428571.42857143,1.0,1.0
11721611.72161172,1.0,1.0
12014652.014652014,1.0,1.0
12307692.307692308,1.0,1.0
12600732.6007326,1.0,1.0
12893772.893772893,1.0,1.0
13186813.186813189,1.0,1.0
13479853.47985348,1.0,1.0
13772893.772893772,1.0,1.0
14065934.065934066,1.0,1.0
14358974.358974358,1.0,1.0
14652014.652014652,1.0,1.0
14945054.945054945,1.0,1.0
15238095.23809524,1.0,1.0
15531135.531135531,1.0,1.0
15824175.824175823,1.0,1.0
16117216.117216118,1.0,1.0
16410256.41025641,1.0,1.0
16703296.703296702,1.0,1.0
16996336.996336997,1.0,1.0
17289377.28937729,1.0,1.0
17582417.58241758,1.0,1.0
17875457.875457875,1.0,1.0
18168498.16849817,1.0,1.0
18461538.46153846,1.0,1.0
18754578.754578754,1.0,1.0
19047619.04761905,1.0,1.0
19340659.34065934,1.0,1.0
19633699.63369964,1.0,1.0
19926739.926739927,1.0,1.0
20219780.219780218,1.0,1.0
20512820.512820512,1.0,1.0
20805860.805860806,1.0,1.0
21098901.0989011,1.0,1.0
21391941.39194139,1.0,1.0
21684981.684981685,1.0,1.0
21978021.97802198,1.0,1.0
22271062.27106227,1.0,1.0
22564102.564102564,1.0,1.0
22857142.85714286,1.0,1.0
23150183.15018315,1.0,1.0
23443223.443223443,1.0,1.0
23736263.736263737,1.0,1.0
24029304.029304028,1.0,1.0
24322344.32234432,1.0,1.0
24615384.615384616,1.0,1.0
24908424.908424903,1.0,1.0
25201465.2014652,1.0,1.0
25494505.49450549,1.0,1.0
25787545.787545785,1.0,1.0
26080586.08058608,1.0,1.0
26373626.373626374,1.0,1.0
26666666.666666668,1.0,1.0
26959706.95970696,1.0,1.0
27252747.252747253,1.0,1.0
27545787.545787547,1.0,1.0
27838827.83882784,1.0,1.0
28131868.13186813,1.0,1.0
28424908.424908426,1.0,1.0
28717948.71794872,1.0,1.0
29010989.01098901,1.0,1.0
29304029.304029305,1.0,1.0
29597069.597069595,1.0,1.0
29890109.89010989,1.0,1.0
30183150.183150183,1.0,1.0
30476190.47619048,1.0,1.0
30769230.769230768,1.0,1.0
31062271.062271062,1.0,1.0
31355311.35531136,1.0,1.0
31648351.648351647,1.0,1.0
31941391.94139194,1.0,1.0
32234432.234432235,1.0,1.0
32527472.52747253,1.0,1.0
32820512.82051282,1.0,1.0
33113553.113553114,1.0,1.0
33406593.406593405,1.0,1.0
33699633.6996337,1.0,1.0
33992673.99267399,1.0,1.0
34285714.28571428,1.0,1.0
34578754.57875458,1.0,1.0
34871794.87179487,1.0,1.0
35164835.16483516,1.0,1.0
35457875.45787546,1.0,1.0
35750915.75091575,1.0,1.0
36043956.04395604,1.0,1.0
36336996.33699634,1.0,1.0
36630036.63003663,1.0,1.0
36923076.92307692,1.0,1.0
37216117.21611722,1.0,1.0
37509157.50915751,1.0,1.0
37802197.8021978,1.0,1.0
38095238.0952381,1.0,1.0
38388278.38827839,1.0,1.0
38681318.68131868,1.0,1.0
38974358.974358976,1.0,1.0
39267399.26739927,1.0,1.0
39560439.56043956,1.0,1.0
39853479.853479855,1.0,1.0
40146520.14652015,1.0,1.0
40439560.43956044,1.0,1.0
40732600.73260073,1.0,1.0
41025641.025641024,1.0,1.0
41318681.31868132,1.0,1.0
41611721.61172161,1.0,1.0
41904761.9047619,1.0,1.0
42197802.1978022,1.0,1.0
42490842.49084249,1.0,1.0
42783882.78388278,1.0,1.0
43076923.07692308,1.0,1.0
43369963.36996337,1.0,1.0
43663003.66300366,1.0,1.0
43956043.95604396,1.0,1.0
44249084.24908425,1.0,1.0
44542124.54212454,1.0,1.0
44835164.83516484,1.0,1.0
45128205.12820513,1.0,1.0
45421245.42124542,1.0,1.0
45714285.71428572,1.0,1.0
46007326.00732601,1.0,1.0
46300366.3003663,1.0,1.0
46593406.5934066,1.0,1.0
46886446.886446886,1.0,1.0
47179487.179487176,1.0,1.0
47472527.472527474,1.0,1.0
47765567.765567765,1.0,1.0
48058608.058608055,1.0,1.0
48351648.35164835,1.0,1.0
48644688.64468864,1.0,1.0
48937728.93772893,1.0,1.0
49230769.23076923,1.0,1.0
49523809.52380952,1.0,1.0
49816849.81684981,1.0,1.0
50109890.10989011,1.0,1.0
50402930.4029304,1.0,1.0
50695970.69597069,1.0,1.0
50989010.98901099,1.0,1.0
51282051.28205128,1.0,1.0
51575091.57509157,1.0,1.0
51868131.86813187,1.0,1.0
52161172.16117216,1.0,1.0
52454212.45421246,1.0,1.0
52747252.74725275,1.0,1.0
53040293.04029304,1.0,1.0
53333333.333333336,1.0,1.0
53626373.62637363,1.0,1.0
53919413.91941392,1.0,1.0
54212454.212454215,1.0,1.0
54505494.505494505,1.0,1.0
54798534.7985348,1.0,1.0
55091575.09157509,1.0,1.0
55384615.38461538,1.0,1.0
55677655.67765568,1.0,1.0
55970695.97069597,1.0,1.0
56263736.26373626,1.0,1.0
56556776.55677655,1.0,1.0
56849816.84981685,1.0,1.0
57142857.14285714,1.0,1.0
57435897.43589743,1.0,1.0
57728937.72893773,1.0,1.0
58021978.02197802,1.0,1.0
58315018.31501831,1.0,1.0
58608058.60805861,1.0,1.0
58901098.9010989,1.0,1.0
59194139.19413919,1.0,1.0
59487179.48717949,1.0,1.0
59780219.78021978,1.0,1.0
60073260.07326007,1.0,1.0
60366300.36630037,1.0,1.0
60659340.65934066,1.0,1.0
60952380.95238096,1.0,1.0
61245421.245421246,1.0,1.0
61538461.538461536,1.0,1.0
61831501.83150184,1.0,1.0
62124542.124542125,1.0,1.0
62417582.417582415,1.0,1.0
62710622.71062271,1.0,1.0
63003663.003663,1.0,1.0
63296703.296703294,1.0,1.0
63589743.58974359,1.0,1.0
63882783.88278388,1.0,1.0
64175824.17582417,1.0,1.0
64468864.46886447,1.0,1.0
64761904.76190476,1.0,1.0
65054945.05494505,1.0,1.0
65347985.34798535,1.0,1.0
65641025.64102564,1.0,1.0
65934065.93406593,1.0,1.0
66227106.22710623,1.0,1.0
66520146.52014652,1.0,1.0
66813186.81318681,1.0,1.0
67106227.10622711,1.0,1.0
67399267.3992674,1.0,1.0
67692307.6923077,1.0,1.0
67985347.98534799,1.0,1.0
68278388.27838828,1.0,1.0
68571428.57142857,1.0,1.0
68864468.86446886,1.0,1.0
69157509.15750916,1.0,1.0
69450549.45054945,1.0,1.0
69743589.74358974,1.0,1.0
70036630.03663003,1.0,1.0
70329670.32967032,1.0,1.0
70622710.62271062,1.0,1.0
70915750.91575092,1.0,1.0
71208791.20879121,1.0,1.0
71501831.5018315,1.0,1.0
71794871.79487179,1.0,1.0
72087912.08791208,1.0,1.0
72380952.38095237,1.0,1.0
72673992.67399268,1.0,1.0
72967032.96703297,1.0,1.0
73260073.26007326,1.0,1.0
73553113.55311355,1.0,1.0
73846153.84615384,1.0,1.0
74139194.13919413,1.0,1.0
74432234.43223444,1.0,1.0
74725274.72527473,1.0,1.0
75018315.01831502,1.0,1.0
75311355.31135531,1.0,1.0
75604395.6043956,1.0,1.0
75897435.8974359,1.0,1.0
76190476.1904762,1.0,1.0
76483516.48351648,1.0,1.0
76776556.77655677,1.0,1.0
77069597.06959707,1.0,1.0
77362637.36263736,1.0,1.0
77655677.65567766,1.0,1.0
77948717.94871795,1.0,1.0
78241758.24175824,1.0,1.0
78534798.53479853,1.0,1.0
78827838.82783882,1.0,1.0
79120879.12087911,1.0,1.0
79413919.41391942,1.0,1.0
79706959.70695971,1.0,1.0
80000000.0,1.0,1.0
80293040.29304029,1.0,1.0
80586080.58608058,1.0,1.0
80879120.87912087,1.0,1.0
81172161.17216118,1.0,1.0
81465201.46520147,1.0,1.0
81758241.75824176,1.0,1.0
82051282.05128205,1.0,1.0
82344322.34432234,1.0,1.0
82637362.63736263,1.0,1.0
82930402.93040293,1.0,1.0
83223443.22344323,1.0,1.0
83516483.51648352,1.0,1.0
83809523.8095238,1.0,1.0
84102564.1025641,1.0,1.0
84395604.3956044,1.0,1.0
84688644.68864469,1.0,1.0
84981684.98168498,1.0,1.0
85274725.27472527,1.0,1.0
85567765.56776556,1.0,1.0
85860805.86080585,1.0,1.0
86153846.15384616,1.0,1.0
86446886.44688645,1.0,1.0
86739926.73992674,1.0,1.0
87032967.03296703,1.0,1.0
87326007.32600732,1.0,1.0
87619047.61904761,1.0,1.0
87912087.91208792,1.0,1.0
88205128.20512821,1.0,1.0
88498168.4981685,1.0,1.0
88791208.79120879,1.0,1.0
89084249.08424908,1.0,1.0
89377289.37728937,1.0,1.0
89670329.67032968,1.0,1.0
89963369.96336997,1.0,1.0
90256410.25641026,1.0,1.0
90549450.54945056,1.0,1.0
90842490.84249084,1.0,1.0
91135531.13553111,1.0,1.0
91428571.42857143,1.0,1.0
91721611.72161172,1.0,1.0
92014652.014652,1.0,1.0
92307692.3076923,1.0,1.0
92600732.6007326,1.0,1.0
92893772.89377289,1.0,1.0
93186813.1868132,1.0,1.0
93479853.47985348,1.0,1.0
93772893.77289376,1.0,1.0
94065934.06593406,1.0,1.0
94358974.35897437,1.0,1.0
94652014.65201466,1.0,1.0
94945054.94505496,1.0,1.0
95238095.23809524,1.0,1.0
95531135.53113551,1.0,1.0
95824175.82417582,1.0,1.0
96117216.11721613,1.0,1.0
96410256.41025642,1.0,1.0
96703296.7032967,1.0,1.0
96996336.996337,1.0,1.0
97289377.28937729,1.0,1.0
97582417.58241758,1.0,1.0
97875457.87545788,1.0,1.0
98168498.16849816,1.0,1.0
98461538.46153846,1.0,1.0
98754578.75457875,1.0,1.0
99047619.04761904,1.0,1.0
99340659.34065934,1.0,1.0
99633699.63369964,1.0,1.0
99926739.92673992,1.0,1.0
100219780.21978022,1.0,1.0
100512820.51282053,1.0,1.0
100805860.8058608,1.0,1.0
101098901.0989011,1.0,1.0
101391941.39194138,1.0,1.0
101684981.68498167,1.0,1.0
101978021.97802198,1.0,1.0
102271062.27106228,1.0,1.0
102564102.56410256,1.0,1.0
102857142.85714284,1.0,1.0
103150183.15018314,1.0,1.0
103443223.44322345,1.0,1.0
103736263.73626374,1.0,1.0
104029304.02930404,1.0,1.0
104322344.32234432,1.0,1.0
104615384.6153846,1.0,1.0
104908424.90842491,1.0,1.0
105201465.2014652,1.0,1.0
105494505.4945055,1.0,1.0
105787545.7875458,1.0,1.0
106080586.08058608,1.0,1.0
106373626.37362637,1.0,1.0
106666666.66666669,1.0,1.0
106959706.95970696,1.0,1.0
107252747.25274724,1.0,1.0
107545787.54578754,1.0,1.0
107838827.83882783,1.0,1.0
108131868.13186812,1.0,1.0
108424908.42490844,1.0,1.0
108717948.71794872,1.0,1.0
109010989.010989,1.0,1.0
